0;0;0.02;-56.9969;-12.2281;0.00398107;0.7;0;4.55598;0;0;0;0
100;0;0.03;-55.3997;-12.0652;0.00990372;0.7;0;6.15326;0;0;0;0
200;0;0.03;-55.9085;-12.1819;0.015769;0.7;0;4.82807;0;0;0;0
300;0;0.03;-62.6846;-12.6445;0.0215772;0.7;0;3.50355;0;0;0;0
400;0;0.03;-67.0373;-11.5761;0.0273353;0.7;0;3.75917;0;0;0;0
500;0;0.02;-60.2897;-12.4353;0.0310446;0.7;0;3.63684;0;0;0;0
600;0;0.03;-63.1847;-12.4061;0.0367008;0.7;0;3.27766;0;0;0;0
700;0;0.03;-67.355;-11.9576;0.0423094;0.7;0;2.90839;0;0;0;0
800;0;0.03;-66.6078;-11.8243;0.0478638;0.7;0;4.17492;0;0;0;0
900;0;0.02;-63.37;-12.5324;0.0513728;0.7;0;4.98233;0;0;0;0
1000;0;0.02;-40.5736;-11.8518;0.0548387;0.7;0;2.83722;0;0;0;0
1100;0;0.03;-64.9745;-12.0537;0.0602577;0.7;0;5.76547;0;0;0;0
1200;0;0.03;-67.6692;-9.26612;0.0656332;0.7;0;3.9474;0;0;0;0
1300;0;0.03;-68.5225;-10.987;0.0709549;0.7;0;3.15298;0;0;0;0
1400;0;0.02;-62.5281;-12.5126;0.0742302;0.7;0;3.44613;0;0;0;0
1500;0;0.02;-70.3923;-11.2742;0.0774729;0.7;0;1.71112;0;0;0;0
1600;0;0.02;-61.0068;-12.5871;0.0806811;0.7;0;5.45995;0;0;0;0
1700;0;0.02;-56.0473;-12.2414;0.0838522;0.7;0;4.86297;0;0;0;0
1800;0;0.03;-59.1674;-12.5889;0.0889803;0.7;0;4.72948;0;0;0;0
1900;0;0.03;-68.5991;-11.1157;0.0940646;0.7;0;4.35575;0;0;0;0
2000;0;0.02;-59.4377;-12.1537;0.0971053;0.7;0;4.57367;0;0;0;0
2100;0;0.03;-61.3735;-12.5217;0.102106;0.7;0;2.63152;0;0;0;0
2200;0;0.02;-66.5553;-12.2473;0.105077;0.7;0;4.23434;0;0;2.57761e-06;0
2300;0;0.02;-57.158;-12.2248;0.10801;0.7;0;3.14523;0;0;0.000136804;0
2400;0;0.03;-65.1302;-12.4666;0.112901;0.7;0;3.82158;0;0;0.000450078;0
2500;0;0.03;-63.1478;-12.3763;0.117747;0.7;0;5.06492;0;0;0.000960003;0
2600;0;0.01;-56.1104;-12.2473;0.118569;0.7;0;5.09975;0;0;0.00168136;0
2700;0;0.04;-69.2637;-10.4062;0.12535;0.7;0;4.20569;0;0;0.00251136;0
2800;0;0.01;-56.1443;-11.9825;0.126094;0.7;0;2.84207;0;0;0.00354059;0
2900;0;0.03;-60.6276;-12.3989;0.130803;0.7;0;4.49312;0;0;0.00474372;0
3000;0;0.03;-66.3884;-12.2633;0.135472;0.7;0;2.7521;0;0;0.00611307;0
3100;0;0.02;-65.537;-12.455;0.138108;0.7;0;2.80902;0;0;0.00766894;0
3200;0;0.03;-64.2908;-12.0451;0.142706;0.7;0;4.58754;0;0;0.00938213;0
3300;0;0.01;-61.4396;-12.2581;0.143276;0.7;0;3.24173;0;0;0.011277;0
3400;0;0.02;-61.4367;-12.4586;0.145832;0.7;0;3.98161;0;0;0.0133051;0
3500;0;0.02;-62.9733;-12.5159;0.14836;0.7;0;3.21649;0;0;0.0153982;0
3600;0;0.02;-63.0059;-12.2253;0.150858;0.7;0;2.51836;0;0;0.0176274;0
3700;0;0.02;-60.6482;-12.4915;0.153338;0.7;0;3.60057;0;0;0.0199944;0
3800;0;0.02;-70.6959;-10.8455;0.155804;0.7;0;2.79008;0;0;0.0224532;0
3900;0;0.01;-65.2833;-12.8214;0.156248;0.7;0;3.26614;0;0;0.0249734;0
4000;0;0.03;-61.4531;-12.5481;0.160664;0.7;0;4.86309;0;0;0.0276027;0
4100;0;0.04;-69.8896;-11.3476;0.167024;0.7;0;2.45816;0;0;0.0303646;0
4200;0;0.03;-68.1686;-11.5229;0.171335;0.7;0;4.16916;0;0;0.0333905;0
4300;0;0.02;-63.1913;-12.3433;0.173606;0.7;0;3.11823;0;0;0.0366496;0
4400;0;0.03;-69.9438;-11.01;0.17785;0.7;0;3.01619;0;0;0.0400957;0
4500;0;0.02;-60.2019;-12.629;0.180058;0.7;0;4.71817;0;0;0.0436694;0
4600;0;0.03;-64.4572;-12.4536;0.18423;0.7;0;2.57797;0;0;0.0474081;0
4700;0;0.02;-58.7658;-12.2877;0.186372;0.7;0;2.98863;0;0;0.051318;0
4800;0;0.02;-69.4612;-10.0275;0.188501;0.7;0;3.41599;0;0;0.055367;0
4900;0;0.03;-68.2826;-10.8203;0.192601;0.7;0;4.63537;0;0;0.0594777;0
5000;0;0.02;-64.3775;-12.5349;0.194668;0.7;0;3.30236;0;0;0.0637184;0
5100;0;0.03;-66.2766;-11.9189;0.198701;0.7;0;3.97483;0;0;0.0681145;0
5200;0;0.02;-43.4936;-11.5668;0.200704;0.7;0;5.2997;0;0;0.0726636;0
5300;0;0.04;-66.9252;-11.6232;0.206664;0.7;0;5.19228;0;0;0.0773471;0
5400;0;0.03;-69.2608;-11.375;0.210584;0.7;0;3.665;0;0;0.08223;0
5500;0;0.02;-62.7576;-12.5065;0.212469;0.7;0;3.72993;0;0;0.0872882;0
5600;0;0.03;-44.3021;-11.6439;0.216321;0.7;0;3.46841;0;0;0.0925008;0
5700;0;0.04;-68.2047;-11.3517;0.222126;0.7;0;4.55796;0;0;0.0978633;0
5800;0;0.02;-59.3574;-12.4818;0.223897;0.7;0;5.57529;0;0;0.103429;0
